REF_DATE,GEO,Labour force characteristics,Sex,Age group,VALUE
2015-02,Canada,Full-time employment,Both sexes,15 years and over,14496.2
2015-02,Canada,Full-time employment,Both sexes,15 to 64 years,14100.1
2015-02,Canada,Full-time employment,Both sexes,15 to 24 years,1264.6
2015-02,Canada,Full-time employment,Both sexes,25 years and over,13231.6
2015-02,Canada,Full-time employment,Both sexes,25 to 54 years,10465.5
2015-02,Canada,Full-time employment,Both sexes,55 years and over,2766.1
2015-02,Canada,Full-time employment,Males,15 years and over,8233.2
2015-02,Canada,Full-time employment,Males,15 to 64 years,7962.3
2015-02,Canada,Full-time employment,Males,15 to 24 years,723.4
2015-02,Canada,Full-time employment,Males,25 years and over,7509.9
2015-02,Canada,Full-time employment,Males,25 to 54 years,5851
2015-02,Canada,Full-time employment,Females,15 years and over,6263
2015-02,Canada,Full-time employment,Females,15 to 64 years,6137.7
2015-02,Canada,Full-time employment,Females,15 to 24 years,541.3
2015-02,Canada,Full-time employment,Females,25 years and over,5721.7
2015-02,Canada,Full-time employment,Females,25 to 54 years,4614.5
2015-02,Canada,Unemployment rate,Both sexes,15 years and over,6.8
2015-02,Canada,Unemployment rate,Both sexes,15 to 64 years,6.9
2015-02,Canada,Unemployment rate,Both sexes,15 to 24 years,13.3
2015-02,Canada,Unemployment rate,Both sexes,15 to 19 years,16.9
2015-02,Canada,Unemployment rate,Both sexes,20 to 24 years,11.3
2015-02,Canada,Unemployment rate,Both sexes,25 years and over,5.6
2015-02,Canada,Unemployment rate,Both sexes,25 to 54 years,5.6
2015-02,Canada,Unemployment rate,Both sexes,55 years and over,5.8
2015-02,Canada,Unemployment rate,Both sexes,55 to 64 years,6.1
2015-02,Canada,Unemployment rate,Males,15 years and over,7.4
2015-02,Canada,Unemployment rate,Males,15 to 64 years,7.5
2015-02,Canada,Unemployment rate,Males,15 to 24 years,15.2
2015-02,Canada,Unemployment rate,Males,15 to 19 years,18.7
2015-02,Canada,Unemployment rate,Males,20 to 24 years,13.3
2015-02,Canada,Unemployment rate,Males,25 years and over,6
2015-02,Canada,Unemployment rate,Males,25 to 54 years,6
2015-02,Canada,Unemployment rate,Males,55 years and over,6.2
2015-02,Canada,Unemployment rate,Males,55 to 64 years,6.6
2015-02,Canada,Unemployment rate,Females,15 years and over,6.1
2015-02,Canada,Unemployment rate,Females,15 to 64 years,6.2
2015-02,Canada,Unemployment rate,Females,15 to 24 years,11.3
2015-02,Canada,Unemployment rate,Females,15 to 19 years,15.1
2015-02,Canada,Unemployment rate,Females,20 to 24 years,9.1
2015-02,Canada,Unemployment rate,Females,25 years and over,5.2
2015-02,Canada,Unemployment rate,Females,25 to 54 years,5.2
2015-02,Canada,Unemployment rate,Females,55 years and over,5.3
2015-02,Canada,Unemployment rate,Females,55 to 64 years,5.6
2015-02,Canada,Participation rate,Both sexes,15 years and over,65.8
2015-02,Canada,Participation rate,Both sexes,15 to 64 years,77.9
2015-02,Canada,Participation rate,Both sexes,15 to 24 years,64.7
2015-02,Canada,Participation rate,Both sexes,15 to 19 years,50.1
2015-02,Canada,Participation rate,Both sexes,20 to 24 years,77
2015-02,Canada,Participation rate,Both sexes,25 years and over,66
2015-02,Canada,Participation rate,Both sexes,25 to 54 years,86.3
2015-02,Canada,Participation rate,Both sexes,55 years and over,36.9
2015-02,Canada,Participation rate,Both sexes,55 to 64 years,64.4
2015-02,Canada,Participation rate,Males,15 years and over,70.5
2015-02,Canada,Participation rate,Males,15 to 64 years,81.7
2015-02,Canada,Participation rate,Males,15 to 24 years,64.5
2015-02,Canada,Participation rate,Males,15 to 19 years,49
2015-02,Canada,Participation rate,Males,20 to 24 years,77.8
2015-02,Canada,Participation rate,Males,25 years and over,71.7
2015-02,Canada,Participation rate,Males,25 to 54 years,90.9
2015-02,Canada,Participation rate,Males,55 years and over,42.9
2015-02,Canada,Participation rate,Males,55 to 64 years,70.1
2015-02,Canada,Participation rate,Females,15 years and over,61.2
2015-02,Canada,Participation rate,Females,15 to 64 years,74.1
2015-02,Canada,Participation rate,Females,15 to 24 years,64.9
2015-02,Canada,Participation rate,Females,15 to 19 years,51.4
2015-02,Canada,Participation rate,Females,20 to 24 years,76.3
2015-02,Canada,Participation rate,Females,25 years and over,60.6
2015-02,Canada,Participation rate,Females,25 to 54 years,81.9
2015-02,Canada,Participation rate,Females,55 years and over,31.4
2015-02,Canada,Participation rate,Females,55 to 64 years,58.8
2015-02,Newfoundland and Labrador,Full-time employment,Both sexes,15 years and over,201.8
2015-02,Newfoundland and Labrador,Full-time employment,Both sexes,15 to 64 years,197.4
2015-02,Newfoundland and Labrador,Full-time employment,Both sexes,15 to 24 years,17.9
2015-02,Newfoundland and Labrador,Full-time employment,Both sexes,25 years and over,183.9
2015-02,Newfoundland and Labrador,Full-time employment,Both sexes,25 to 54 years,143.4
2015-02,Newfoundland and Labrador,Full-time employment,Both sexes,55 years and over,40.5
2015-02,Newfoundland and Labrador,Full-time employment,Males,15 years and over,110.8
2015-02,Newfoundland and Labrador,Full-time employment,Males,15 to 64 years,107.8
2015-02,Newfoundland and Labrador,Full-time employment,Males,15 to 24 years,9.5
2015-02,Newfoundland and Labrador,Full-time employment,Males,25 years and over,101.2
2015-02,Newfoundland and Labrador,Full-time employment,Males,25 to 54 years,76.1
2015-02,Newfoundland and Labrador,Full-time employment,Females,15 years and over,91
2015-02,Newfoundland and Labrador,Full-time employment,Females,15 to 64 years,89.5
2015-02,Newfoundland and Labrador,Full-time employment,Females,15 to 24 years,8.3
2015-02,Newfoundland and Labrador,Full-time employment,Females,25 years and over,82.7
2015-02,Newfoundland and Labrador,Full-time employment,Females,25 to 54 years,67.3
2015-02,Newfoundland and Labrador,Unemployment rate,Both sexes,15 years and over,12.2
2015-02,Newfoundland and Labrador,Unemployment rate,Both sexes,15 to 64 years,12.1
2015-02,Newfoundland and Labrador,Unemployment rate,Both sexes,15 to 24 years,16.9
2015-02,Newfoundland and Labrador,Unemployment rate,Both sexes,25 years and over,11.5
2015-02,Newfoundland and Labrador,Unemployment rate,Both sexes,25 to 54 years,10.6
2015-02,Newfoundland and Labrador,Unemployment rate,Both sexes,55 years and over,14.5
2015-02,Newfoundland and Labrador,Unemployment rate,Males,15 years and over,14.5
2015-02,Newfoundland and Labrador,Unemployment rate,Males,15 to 64 years,14.4
2015-02,Newfoundland and Labrador,Unemployment rate,Males,15 to 24 years,20.5
2015-02,Newfoundland and Labrador,Unemployment rate,Males,25 years and over,13.7
2015-02,Newfoundland and Labrador,Unemployment rate,Males,25 to 54 years,12.9
2015-02,Newfoundland and Labrador,Unemployment rate,Males,55 years and over,15.9
2015-02,Newfoundland and Labrador,Unemployment rate,Females,15 years and over,9.8
2015-02,Newfoundland and Labrador,Unemployment rate,Females,15 to 64 years,9.6
2015-02,Newfoundland and Labrador,Unemployment rate,Females,15 to 24 years,13.4
2015-02,Newfoundland and Labrador,Unemployment rate,Females,25 years and over,9.1
2015-02,Newfoundland and Labrador,Unemployment rate,Females,25 to 54 years,8
2015-02,Newfoundland and Labrador,Unemployment rate,Females,55 years and over,12.8
2015-02,Newfoundland and Labrador,Participation rate,Both sexes,15 years and over,60.8
2015-02,Newfoundland and Labrador,Participation rate,Both sexes,15 to 64 years,74.3
2015-02,Newfoundland and Labrador,Participation rate,Both sexes,15 to 24 years,63.5
2015-02,Newfoundland and Labrador,Participation rate,Both sexes,25 years and over,60.5
2015-02,Newfoundland and Labrador,Participation rate,Both sexes,25 to 54 years,83.4
2015-02,Newfoundland and Labrador,Participation rate,Both sexes,55 years and over,32.7
2015-02,Newfoundland and Labrador,Participation rate,Males,15 years and over,64.6
2015-02,Newfoundland and Labrador,Participation rate,Males,15 to 64 years,77.5
2015-02,Newfoundland and Labrador,Participation rate,Males,15 to 24 years,55.3
2015-02,Newfoundland and Labrador,Participation rate,Males,25 years and over,66
2015-02,Newfoundland and Labrador,Participation rate,Males,25 to 54 years,87.8
2015-02,Newfoundland and Labrador,Participation rate,Males,55 years and over,39
2015-02,Newfoundland and Labrador,Participation rate,Females,15 years and over,57.3
2015-02,Newfoundland and Labrador,Participation rate,Females,15 to 64 years,71.1
2015-02,Newfoundland and Labrador,Participation rate,Females,15 to 24 years,72
2015-02,Newfoundland and Labrador,Participation rate,Females,25 years and over,55.2
2015-02,Newfoundland and Labrador,Participation rate,Females,25 to 54 years,79.1
2015-02,Newfoundland and Labrador,Participation rate,Females,55 years and over,26.8
2015-02,Prince Edward Island,Full-time employment,Both sexes,15 years and over,61
2015-02,Prince Edward Island,Full-time employment,Both sexes,15 to 64 years,58.3
2015-02,Prince Edward Island,Full-time employment,Both sexes,15 to 24 years,5.8
2015-02,Prince Edward Island,Full-time employment,Both sexes,25 years and over,55.2
2015-02,Prince Edward Island,Full-time employment,Both sexes,25 to 54 years,40.7
2015-02,Prince Edward Island,Full-time employment,Both sexes,55 years and over,14.5
2015-02,Prince Edward Island,Full-time employment,Males,15 years and over,33.1
2015-02,Prince Edward Island,Full-time employment,Males,15 to 64 years,31.2
2015-02,Prince Edward Island,Full-time employment,Males,15 to 24 years,3.2
2015-02,Prince Edward Island,Full-time employment,Males,25 years and over,30
2015-02,Prince Edward Island,Full-time employment,Males,25 to 54 years,21.3
2015-02,Prince Edward Island,Full-time employment,Females,15 years and over,27.9
2015-02,Prince Edward Island,Full-time employment,Females,15 to 64 years,27.1
2015-02,Prince Edward Island,Full-time employment,Females,15 to 24 years,2.6
2015-02,Prince Edward Island,Full-time employment,Females,25 years and over,25.2
2015-02,Prince Edward Island,Full-time employment,Females,25 to 54 years,19.4
2015-02,Prince Edward Island,Unemployment rate,Both sexes,15 years and over,10.1
2015-02,Prince Edward Island,Unemployment rate,Both sexes,15 to 64 years,9.9
2015-02,Prince Edward Island,Unemployment rate,Both sexes,15 to 24 years,16
2015-02,Prince Edward Island,Unemployment rate,Both sexes,25 years and over,9
2015-02,Prince Edward Island,Unemployment rate,Both sexes,25 to 54 years,8.1
2015-02,Prince Edward Island,Unemployment rate,Both sexes,55 years and over,11.4
2015-02,Prince Edward Island,Unemployment rate,Males,15 years and over,11.7
2015-02,Prince Edward Island,Unemployment rate,Males,15 to 64 years,11.4
2015-02,Prince Edward Island,Unemployment rate,Males,15 to 24 years,20.6
2015-02,Prince Edward Island,Unemployment rate,Males,25 years and over,10.1
2015-02,Prince Edward Island,Unemployment rate,Males,25 to 54 years,9.2
2015-02,Prince Edward Island,Unemployment rate,Males,55 years and over,11
2015-02,Prince Edward Island,Unemployment rate,Females,15 years and over,8.3
2015-02,Prince Edward Island,Unemployment rate,Females,15 to 64 years,8.1
2015-02,Prince Edward Island,Unemployment rate,Females,15 to 24 years,10.5
2015-02,Prince Edward Island,Unemployment rate,Females,25 years and over,8.2
2015-02,Prince Edward Island,Unemployment rate,Females,25 to 54 years,6.9
2015-02,Prince Edward Island,Unemployment rate,Females,55 years and over,11.8
2015-02,Prince Edward Island,Participation rate,Both sexes,15 years and over,68.2
2015-02,Prince Edward Island,Participation rate,Both sexes,15 to 64 years,81.4
2015-02,Prince Edward Island,Participation rate,Both sexes,15 to 24 years,67.9
2015-02,Prince Edward Island,Participation rate,Both sexes,25 years and over,68.2
2015-02,Prince Edward Island,Participation rate,Both sexes,25 to 54 years,89
2015-02,Prince Edward Island,Participation rate,Both sexes,55 years and over,43.3
2015-02,Prince Edward Island,Participation rate,Males,15 years and over,72.9
2015-02,Prince Edward Island,Participation rate,Males,15 to 64 years,84.8
2015-02,Prince Edward Island,Participation rate,Males,15 to 24 years,71.6
2015-02,Prince Edward Island,Participation rate,Males,25 years and over,73.1
2015-02,Prince Edward Island,Participation rate,Males,25 to 54 years,92.2
2015-02,Prince Edward Island,Participation rate,Males,55 years and over,49.5
2015-02,Prince Edward Island,Participation rate,Females,15 years and over,63.7
2015-02,Prince Edward Island,Participation rate,Females,15 to 64 years,78.2
2015-02,Prince Edward Island,Participation rate,Females,15 to 24 years,63.3
2015-02,Prince Edward Island,Participation rate,Females,25 years and over,63.8
2015-02,Prince Edward Island,Participation rate,Females,25 to 54 years,86.1
2015-02,Prince Edward Island,Participation rate,Females,55 years and over,37.8
2015-02,Nova Scotia,Full-time employment,Both sexes,15 years and over,368.2
2015-02,Nova Scotia,Full-time employment,Both sexes,15 to 64 years,358.1
